code,name,orgId,title,url,size_kb
600521,华海药业,gssh0600521,浙江华海药业股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259952.PDF,1691
603021,ST华鹏,9900023482,山东华鹏2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259897.PDF,1284
603898,好莱客,9900023664,广州好莱客创意家居股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259862.PDF,2051
688348,昱能科技,9900052521,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259857.PDF,2185
603609,禾丰股份,9900022976,禾丰股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259572.PDF,1754
600887,伊利股份,gssh0600887,内蒙古伊利实业集团股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259562.PDF,1468
600996,贵广网络,9900030438,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259560.PDF,1466
603052,可川科技,9900039839,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259559.PDF,1148
600779,水井坊,gssh0600779,水井坊2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259544.PDF,1976
688443,智翔金泰,9900056031,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259475.PDF,1629
688272,富吉瑞,9900046529,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259453.PDF,1453
688001,华兴源创,9900038969,华兴源创：2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259389.PDF,4821
600438,通威股份,gssh0600438,通威股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259224.PDF,1732
603023,威帝股份,9900023114,哈尔滨威帝电子股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259149.PDF,1208
688218,江苏北人,gfbj0836084,2025年年度报告全文,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259116.PDF,3860
600624,ST复华,gssh0600624,上海复旦复华科技股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258994.PDF,1334
600517,国网英大,gssh0600517,国网英大2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258897.PDF,2252
002663,普邦股份,9900022158,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258798.PDF,5983
603661,恒林股份,9900022987,恒林股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258766.PDF,1919
603528,多伦科技,9900026209,多伦科技2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258763.PDF,3368
600620,天宸股份,gssh0600620,上海市天宸股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258755.PDF,1222
603212,赛伍技术,9900036558,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258726.PDF,1796
688237,超卓航科,gfbj0839971,超卓航科2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258586.PDF,1809
600844,金煤科技,gssh0600844,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258475.PDF,1318
688618,三旺通信,nssc1000604,深圳市三旺通信股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258419.PDF,2670
605288,凯迪股份,9900038386,常州市凯迪电器股份有限公司2025年年度报告全文,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258364.PDF,1181
600905,三峡能源,9900016549,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258316.PDF,2489
688567,孚能科技,9900040620,孚能科技2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258214.PDF,1584
600392,盛和资源,gssh0600392,盛和资源2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258047.PDF,1804
600850,电科数字,gssh0600850,中电科数字技术股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258044.PDF,1854
600807,济高发展,gssh0600807,济高发展2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225257993.PDF,1481
601006,大秦铁路,9900000261,大秦铁路2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225257951.PDF,1362
600406,国电南瑞,gssh0600406,国电南瑞2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225257886.PDF,2877
